"participantid","shape","m_prop_look_dev"
101,"equilateral_triangle",0.233830845771144
101,"isosceles_triangle",0.146250684181719
101,"object",0.512668978696298
101,"pentagon",0.140555765577818
101,"rhombus",0.487597595495832
101,"square",0.253420487679836
102,"equilateral_triangle",0.196428571428571
102,"isosceles_triangle",0.170533278991755
102,"object",0.186746987951807
102,"pentagon",0.231494252873563
102,"rhombus",0.417494270435447
102,"square",0.227513227513228
103,"equilateral_triangle",0.22061165855034
103,"isosceles_triangle",0.22258064516129
103,"object",0.354892814608972
103,"pentagon",0.101063829787234
103,"rhombus",0.199004975124378
103,"square",0.328214550581686
106,"equilateral_triangle",0
106,"isosceles_triangle",0.338140132051139
106,"object",0.415086651817243
106,"pentagon",0
106,"rhombus",0.311442989634479
106,"square",0.397618624791828
108,"equilateral_triangle",0.102790014684288
108,"isosceles_triangle",0.165389395194698
108,"object",0.270409944828549
108,"pentagon",0.273504273504274
108,"rhombus",0.0786838340486409
108,"square",0.575827120223672
109,"equilateral_triangle",0
109,"isosceles_triangle",0
109,"object",0.377419341283648
109,"pentagon",0.107212475633528
109,"rhombus",0.707865168539326
109,"square",0.613636363636364
110,"equilateral_triangle",0.362507848385711
110,"isosceles_triangle",0.316568047337278
110,"object",0.348888140161725
110,"pentagon",0.0527497194163861
110,"rhombus",0.376923076923077
110,"square",0.309210526315789
112,"equilateral_triangle",0.670918367346939
112,"isosceles_triangle",0.232647576684274
112,"object",0.563063063063063
112,"pentagon",0.420474652053599
112,"rhombus",0.108366711170449
112,"square",0.278468256634195
113,"equilateral_triangle",0.209876543209877
113,"isosceles_triangle",0.205882352941176
113,"object",0.185213868700107
113,"pentagon",0.38076250819314
113,"rhombus",0
113,"square",0.228506386401123
115,"equilateral_triangle",0.135483870967742
115,"isosceles_triangle",0.433309509223334
115,"object",0.312042124542125
115,"pentagon",0.134615384615385
115,"rhombus",0.115789473684211
115,"square",0.553324408746096
116,"equilateral_triangle",0.216019417475728
116,"isosceles_triangle",0.231466181978409
116,"object",0.149847094801223
116,"pentagon",0
116,"rhombus",0.324283559577677
116,"square",0.322637908844805
117,"equilateral_triangle",0.248453264801066
117,"isosceles_triangle",0.277422418961488
117,"object",0.229257641921397
117,"pentagon",0.160084451068058
117,"rhombus",0.471978557504873
117,"square",0.454898595578944
118,"equilateral_triangle",0.396525793352384
118,"isosceles_triangle",0.271428571428571
118,"object",0.081832517964984
118,"pentagon",0.128140703517588
118,"rhombus",0.218446601941748
118,"square",0.344106397164614
123,"equilateral_triangle",0.448863636363636
123,"isosceles_triangle",0
123,"object",0.355988371673628
123,"pentagon",0
123,"rhombus",0.351887421635321
123,"square",0.794520547945205
124,"equilateral_triangle",0
124,"isosceles_triangle",0.114285714285714
124,"object",0.424353428947895
124,"pentagon",0
124,"rhombus",0
124,"square",0.508982035928144
125,"equilateral_triangle",0.618181818181818
125,"isosceles_triangle",0.00662251655629139
125,"object",0.369034728955852
125,"pentagon",0.170616113744076
125,"rhombus",0
125,"square",0.35036496350365
127,"equilateral_triangle",0.234567901234568
127,"isosceles_triangle",0
127,"object",0.480193322659076
127,"pentagon",0.251748251748252
127,"rhombus",0.0224719101123595
127,"square",0.482517482517482
128,"equilateral_triangle",0.505962059620596
128,"isosceles_triangle",0.291666666666667
128,"object",0.183634797588286
128,"pentagon",0.344921806871693
128,"rhombus",0.218209669296626
128,"square",0.236762314262314
130,"equilateral_triangle",0.174450549450549
130,"isosceles_triangle",0.161352040816327
130,"object",0.397941266701914
130,"pentagon",0.276626909395271
130,"rhombus",0.25085910652921
130,"square",0.381630426173584
131,"equilateral_triangle",0.0399305555555556
131,"isosceles_triangle",0.225906661145066
131,"object",0.47277109343536
131,"pentagon",0.389851485148515
131,"rhombus",0.18
131,"square",0
132,"equilateral_triangle",0.370666918712112
132,"isosceles_triangle",0.143478260869565
132,"object",0.262094891821528
132,"pentagon",0.305563827675204
132,"rhombus",0.151350247170813
132,"square",0.276026220402015
133,"equilateral_triangle",0.269461077844311
133,"isosceles_triangle",0.54841257468646
133,"object",0.330758860468299
133,"pentagon",0.533583959899749
133,"rhombus",0.0989847715736041
133,"square",0.324587081726879
135,"equilateral_triangle",0.377659574468085
135,"isosceles_triangle",0.0116279069767442
135,"object",0.271676784274347
135,"pentagon",0.125748502994012
135,"rhombus",0
135,"square",0.0646034533216272
136,"equilateral_triangle",0.21969696969697
136,"isosceles_triangle",0.228821746484438
136,"object",0.268412771509709
136,"pentagon",0.288818267865068
136,"rhombus",0.228480218903204
136,"square",0.374010652149397
