listid,block,trialNumber,shape,deviant_object,location_deviant,location_standard,location_standard_smaller,location_standard_larger,orientation,color,deviant_type
1,1,1,square,na,1,2,3,4,5,blue,1
1,1,2,car,duck,3,4,1,2,25,,1
1,1,3,isosceles_triangle,na,3,4,1,2,5,yellow,1
1,1,4,rhombus,na,4,1,2,3,25,red,1
1,1,5,pentagon,na,1,2,3,4,5,green,1
1,1,6,equilateral_triangle,na,2,3,4,1,25,purple,1
1,2,1,square,na,2,1,4,3,5,blue,2
1,2,2,duck,car,2,1,4,3,25,,2
1,2,3,isosceles_triangle,na,4,3,2,1,5,yellow,2
1,2,4,rhombus,na,3,2,1,4,25,red,2
1,2,5,pentagon,na,1,1,4,3,5,green,2
1,2,6,equilateral_triangle,na,3,4,3,2,25,purple,2
1,3,1,square,na,3,4,1,2,355,blue,1
1,3,2,car,duck,0,0,0,0,325,,1
1,3,3,isosceles_triangle,na,1,2,3,4,355,yellow,1
1,3,4,rhombus,na,2,3,4,1,325,red,1
1,3,5,pentagon,na,1,4,1,2,355,green,1
1,3,6,equilateral_triangle,na,4,1,2,3,325,purple,1
1,4,1,square,na,4,3,2,1,325,blue,2
1,4,2,duck,car,4,3,2,1,355,,2
1,4,3,isosceles_triangle,na,2,1,4,3,325,yellow,2
1,4,4,rhombus,na,1,4,3,2,355,red,2
1,4,5,pentagon,na,2,3,2,1,325,green,2
1,4,6,equilateral_triangle,na,1,2,1,4,355,purple,2
2,1,1,square,na,2,1,4,3,25,yellow,1
2,1,2,equilateral_triangle,na,1,4,3,2,5,red,1
2,1,3,car,duck,0,0,0,0,25,,1
2,1,4,pentagon,na,3,2,1,4,5,green,1
2,1,5,rhombus,na,2,1,4,3,25,purple,1
2,1,6,isosceles_triangle,na,1,4,3,2,5,blue,1
2,2,1,square,na,3,4,1,2,355,red,2
2,2,2,equilateral_triangle,na,4,1,2,3,325,green,2
2,2,3,duck,car,2,3,4,1,355,,2
2,2,4,pentagon,na,2,3,4,1,325,purple,2
2,2,5,rhombus,na,3,4,1,2,355,blue,2
2,2,6,isosceles_triangle,na,4,1,2,3,325,yellow,2
2,3,1,square,na,4,3,2,1,325,red,1
2,3,2,equilateral_triangle,na,3,2,1,4,355,green,1
2,3,3,car,duck,3,2,1,4,325,,1
2,3,4,pentagon,na,1,4,3,2,355,purple,1
2,3,5,rhombus,na,4,3,2,1,325,blue,1
2,3,6,isosceles_triangle,na,3,2,1,4,355,yellow,1
2,4,1,square,na,1,2,3,4,5,green,2
2,4,2,equilateral_triangle,na,2,3,4,1,25,purple,2
2,4,3,duck,car,4,1,2,3,5,,2
2,4,4,pentagon,na,4,1,2,3,25,blue,2
2,4,5,rhombus,na,1,2,3,4,5,yellow,2
2,4,6,isosceles_triangle,na,2,3,4,1,25,red,2
3,1,1,square,na,3,4,1,2,355,red,2
3,1,2,isosceles_triangle,na,4,1,2,3,325,green,2
3,1,3,pentagon,na,1,2,3,4,355,purple,2
